USU ID,ID,Site_type,Site,Vegtype,Sample_Type,TN%,P%,Ca%,K%,Mg%,S%,Al,As,B,Ba,Cd,Co,Cr,Cu,Fe,Mn,Mo,Na,Ni,Pb,Se,Si,Sr,Zn
3657,31,BEO,WL03,Arctophila,Leaves,2.09,0.14,0.05,0.81,0.08,0.11,5.10,0.0,2.81,2.93,0.0,0.27,0.15,2.15,104,14.3,0.41,677,0.75,0.54,1.72,307,2.30,45.7
3658,32,BEO,WL03,Arctophila,Roots,0.99,0.06,0.03,0.20,0.03,0.09,57.2,6.40,0.95,4.34,0.0,5.10,0.13,3.98,4457,9.77,0.31,3139,1.14,0.62,1.00,225,2.39,34.3
3655,29,BEO,WL03,Carex,Leaves,2.57,0.21,0.10,0.86,0.15,0.14,7.98,0.0,5.18,7.47,0.0,0.20,0.14,3.38,118,59.5,0.66,1317,1.30,1.13,1.68,879,4.26,47.1
3656,30,BEO,WL03,Carex,Roots,1.15,0.09,0.09,0.41,0.11,0.07,73.5,5.36,2.37,5.46,0.20,2.26,0.49,5.31,5400,36.8,0.47,556,2.12,0.88,1.00,241,4.08,57.9
3653,27,BEO,WL02,Carex,Leaves,2.66,0.17,0.10,1.08,0.13,0.15,11.0,0.0,5.23,5.52,0.0,0.07,0.12,3.54,125,42.3,1.24,852,1.08,1.07,1.00,815,3.26,59.1
3654,28,BEO,WL02,Carex,Roots,0.94,0.07,0.05,0.46,0.09,0.08,65.1,4.62,1.99,6.15,0.14,1.39,0.16,3.79,4794,37.0,0.26,557,1.28,0.43,1.00,203,3.23,76.8
3673,47,BRW,UTIQ,Arctophila,Leaves,1.82,0.17,0.07,1.18,0.07,0.14,5.73,0.06,3.15,1.75,0.0,0.0,0.12,1.45,88.9,21.8,0.0,259,0.38,0.54,4.40,365,2.62,11.1
3674,48,BRW,UTIQ,Arctophila,Roots,0.68,0.08,0.06,0.77,0.06,0.54,16.3,0.78,1.20,5.85,0.0,4.06,0.09,2.60,4020,19.8,0.0,2912,4.53,0.0,2.09,111,3.42,19.5
3671,45,BRW,UTIQ,Carex,Leaves,2.50,0.19,0.15,1.47,0.11,0.22,10.1,0.0,4.26,6.66,0.0,0.07,0.16,1.60,77.8,137,0.0,740,0.38,0.67,1.00,576,5.72,19.2
3672,46,BRW,UTIQ,Carex,Roots,0.88,0.10,0.09,0.69,0.09,0.29,30.2,1.03,5.19,17.2,0.54,2.18,0.12,2.58,3551,85.8,0.0,1070,1.00,0.12,1.00,107,6.46,25.9
3651,25,TK,TK3,Carex,Leaves,2.70,0.28,0.10,1.57,0.10,0.13,7.15,0.0,3.73,2.02,0.0,0.19,0.21,3.80,220,58.7,1.54,407,1.99,0.28,2.79,135,3.05,45.5
3652,26,TK,TK3,Carex,Roots,0.98,0.18,0.07,0.81,0.06,0.06,43.7,2.01,2.32,7.27,0.0,1.43,0.24,3.56,4388,41.7,1.98,509,1.40,0.27,2.53,128,3.79,56.4
3649,23,TK,TK1,Carex,Leaves,2.76,0.25,0.10,1.06,0.13,0.14,7.54,0.0,6.19,6.10,0.0,2.35,0.22,5.33,128,70.0,1.42,1895,3.10,0.71,1.78,402,3.25,52.7
3650,24,TK,TK1,Carex,Roots,1.12,0.22,0.07,0.52,0.19,0.08,110,3.41,2.72,6.90,0.24,6.28,0.34,4.35,5750,33.7,1.50,1252,3.04,0.85,4.59,287,3.67,67.8
3647,21,BEO,ITEX-N,Arctophila,Leaves,2.34,0.23,0.43,1.54,0.08,0.14,6.87,0.0,2.95,2.47,0.0,0.19,0.21,3.14,80.3,9.69,0.27,273,0.82,0.61,1.00,415,4.81,28.7
3648,22,BEO,ITEX-N,Arctophila,Roots,0.99,0.11,0.13,0.66,0.05,0.14,68.4,4.89,1.52,5.96,0.19,1.50,0.27,6.72,5380,12.1,0.57,3034,1.66,0.81,1.00,223,6.88,50.7
3645,19,BEO,ITEX-N,Carex,Leaves,2.76,0.25,0.36,1.23,0.11,0.17,6.30,0.0,5.94,4.61,0.0,0.29,0.23,2.73,123,53.9,0.55,937,0.69,1.05,4.19,743,7.89,49.8
3646,20,BEO,ITEX-N,Carex,Roots,1.20,0.16,0.28,0.84,0.12,0.19,12.4,2.54,3.85,7.34,0.07,1.53,0.22,3.49,2242,62.3,0.21,946,0.98,0.41,2.13,71.6,13.45,53.9
3677,51,IBP,IBP-X,Arctophila,Leaves,2.52,0.13,0.04,1.21,0.05,0.15,4.23,0.09,2.62,2.05,0.0,0.36,0.11,2.67,72.9,9.14,0.29,166,0.42,0.71,1.00,580,1.67,32.3
3678,52,IBP,IBP-X,Arctophila,Roots,1.26,0.06,0.02,0.43,0.03,0.10,19.2,1.09,0.51,3.10,0.0,1.37,0.10,3.03,1545,9.44,0.21,520,0.68,0.12,1.00,122,1.48,23.3
