Abbreviation,species_name_old,species_name_accepted
And pol,Andromeda polifolia,Andromeda polifolia
Ane par,Anemone parviflora,Anemone parviflora
Ane sp,Anemone sp.,Anemone sp.
Ant fri,Antennaria Friesiana,Antennaria Friesiana
Arc alp,Arctostaphylos alpina,Arctous alpina
Arc lat,Arctagrostis latifolia,Arctagrostis latifolia
Arn sp.,Arnica sp.,Arnica sp.
Ast umb,Astragalus umbellatus,Astragalus umbellatus
bare,Bare soil,Bare soil
Bet nan,Betula nana,Betula nana
big sedge,Eriophorum angustifolium,Eriophorum angustifolium
Boy ric,Boykinia Richardsonii,Boykinia Richardsonii
Cal can,Calamagrostis canadensis,Calamagrostis canadensis
Cal lap,Calamagrostis lapponica,Calamagrostis lapponica
Car aqu,Carex aquatilis,Carex aquatilis
Car baby,Carex sp.,Carex sp.
Car big,Carex Bigelowii,Carex Bigelowii
Car mic,Carex microchaeta,Carex microchaeta
Car sp,Carex sp.,Carex sp.
Cas tet,Cassiope tetragona,Cassiope tetragona
Cha lat,Chamerion latifolium,Epilobium latifolium
chick,Stellaria sp.,Stellaria sp.
Dead ledum,Ledum palustre-Dead,Ledum palustre-Dead
Dia lap,Diapensia lapponica,Diapensia lapponica
Dodfri,Dodecatheon frigida,Dodecatheon frigidum
Draba 1,Draba sp.,Draba sp.
Draba 2,Draba sp.,Draba sp.
Dry int,Dryas integrifolia,Dryas integrifolia
Dry oct,Dryas octopetala,Dryas octopetala
Emp nig,Empetrum nigrum,Empetrum nigrum
Epi lat,Epilobium latifolium,Epilobium latifolium
Equ arv,Equisetum arvense,Equisetum arvense
Equ sco,Equisetum scirpoides,Equisetum scirpoides
Eri ang,Eriophorum angustifolium,Eriophorum angustifolium
Eri vag,Eriophorum vaginatum,Eriophorum vaginatum
Fern,Thalictrum sp.,Thalictrum sp.
frost boil,Soil Frost boil,Soil Frost boil
Geu gla,Geum glaciale,Geum glaciale
Grass,Grass,Grass
green tuss,Eriophorum vaginatum,Eriophorum vaginatum
Hie alp,Hierochloe alpina,Hierochloe alpina
