Year,Site,Treatment,Block,Plot,Species,Rel.cover,Accepted.Latin.Name.or.category,functional_group,Total.cover,Abs.cover
2008,06MAT,F5,2,2,And pol,6.3,Andromeda polifolia,evergreen,NA,NA
2008,06MAT,F5,3,2,And pol,2.9,Andromeda polifolia,evergreen,NA,NA
2008,06MAT,F5,3,4,And pol,0.9,Andromeda polifolia,evergreen,NA,NA
2010,06MAT,CT,2,6,And pol,1.1,Andromeda polifolia,evergreen,NA,NA
2010,06MAT,CT,3,3,And pol,0.5,Andromeda polifolia,evergreen,NA,NA
2010,06MAT,F5,3,1,And pol,3.2,Andromeda polifolia,evergreen,NA,NA
2011,06MAT,F5,3,7,And pol,0.6,Andromeda polifolia,evergreen,NA,NA
2012,06MAT,F2,3,8,And pol,0.6,Andromeda polifolia,evergreen,NA,NA
2012,06MAT,F5,3,1,And pol,1.5,Andromeda polifolia,evergreen,NA,NA
2012,06MAT,F5,3,2,And pol,0.8,Andromeda polifolia,evergreen,NA,NA
2012,06MAT,F5,3,8,And pol,1.8,Andromeda polifolia,evergreen,NA,NA
2013,06MAT,F5,1,1,And pol,72.1,Andromeda polifolia,evergreen,NA,NA
2014,06MAT,CT,3,6,And pol,1,Andromeda polifolia,evergreen,NA,NA
2015,06MAT,CT,2,5,And pol,0.9,Andromeda polifolia,evergreen,NA,NA
2015,06MAT,F2,3,5,And pol,0.7,Andromeda polifolia,evergreen,NA,NA
2015,06MAT,F5,3,4,And pol,0.7,Andromeda polifolia,evergreen,NA,NA
2015,06MAT,F5,3,5,And pol,0.7,Andromeda polifolia,evergreen,NA,NA
2015,06MAT,F10,3,5,And pol,0.6,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,CT,1,2,And pol,0.8,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F5,1,4,And pol,0.8,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,CT,2,4,And pol,1.2,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,CT,2,6,And pol,1.1,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F2,2,6,And pol,1.3,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F2,2,8,And pol,1.2,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F5,2,8,And pol,1,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,CT,3,5,And pol,0.8,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F2,3,3,And pol,1.9,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F2,3,4,And pol,1.2,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F2,3,5,And pol,0.8,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F2,3,7,And pol,4.7,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F2,3,8,And pol,4.7,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F10,3,4,And pol,1.9,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F10,3,6,And pol,1,Andromeda polifolia,evergreen,NA,NA
2016,06MAT,F10,3,8,And pol,1,Andromeda polifolia,evergreen,NA,NA
2017,06MAT,F2,3,1,And pol,0.7,Andromeda polifolia,evergreen,73,51.099999999999994
2017,06MAT,F2,3,2,And pol,1.5,Andromeda polifolia,evergreen,132,198
2017,06MAT,F2,3,3,And pol,1.2,Andromeda polifolia,evergreen,80,96
2017,06MAT,F5,3,5,And pol,3.2,Andromeda polifolia,evergreen,94,300.8
2018,06MAT,F2,3,1,And pol,0.6,Andromeda polifolia,evergreen,163,97.8
2018,06MAT,F2,3,2,And pol,0.9,Andromeda polifolia,evergreen,106,95.4
2018,06MAT,F2,3,3,And pol,0.8,Andromeda polifolia,evergreen,126,100.80000000000001
2018,06MAT,F5,3,3,And pol,1.5,Andromeda polifolia,evergreen,66,99
2018,06MAT,F5,3,5,And pol,0.8,Andromeda polifolia,evergreen,64,51.2
2019,06MAT,F2,3,1,And pol,4,Andromeda polifolia,evergreen,74.5,298
2019,06MAT,F2,3,2,And pol,3.1,Andromeda polifolia,evergreen,96,297.6
2019,06MAT,F2,3,3,And pol,2.1,Andromeda polifolia,evergreen,97.5,204.75
2019,06MAT,F5,3,3,And pol,1.3,Andromeda polifolia,evergreen,76.5,99.45
