Accepted.Latin.Name.or.category,functional_group
Andromeda polifolia,evergreen
Arctostaphylos alpina,evergreen
Arctagrostis latifolia,graminoid
Arnica species,forb
Bare soil,ground
Betula nana,deciduous
Calamagrostis canadensis,graminoid
Calamagrostis lapponica,graminoid
Carex Bigelowii,graminoid
Cassiope tetragona,evergreen
Dicotyledon,forb 
Dryas integrifolia,evergreen
Empetrum nigrum,evergreen
Equisetum arvense,forb
Eriophorum vaginatum,graminoid
Festuca species,graminoid
Soil Frost boil,ground
graminoid,graminoid
grass,graminoid
Anthoxanthum monticola,forb 
Anthoxanthum sp.,forb
Lagotis glauca,forb
Ledum palustre,evergreen
Mixed Lichens,lichen
Mixed dead litter,litter
Luzula species,graminoid
Minuartia species,forb
Mixed moss,moss
Pedicularis lapponica,forb
Pedicularis species,forb
Petasites frigidus,forb 
Petasites species,forb
Polygonum bistorta,forb
Polygonum viviparum,forb
Pyrola secunda,forb
Pyrola species,forb
Rubus chamaemorus,deciduous
Salix arctica,deciduous
Salix phlebophylla,deciduous
Salix pulchra,deciduous
Salix reticulata,deciduous
Saussurea angustifolia,forb
Saxifraga punctata,forb
Standing Dead Betula nana,dead
Standing dead Ledum palustre,dead
Standing Dead Salix,dead
Stellaria edwardsi,forb
Stellaria longipes,forb
Stellaria species,forb
Tofieldia coccinea,forb
Tofieldia species,forb
Vaccinium uliginosum,deciduous
Vaccinium vitis-idaea,evergreen
