Species,Accepted.Latin.Name.or.category
And pol,Andromeda polifolia
Arc alp,Arctostaphylos alpina
Arc lat,Arctagrostis latifolia
Arnica sp.,Arnica species
bare,Bare soil
Bet nan,Betula nana
Cal can,Calamagrostis canadensis
Cal lap,Calamagrostis lapponica
Car big,Carex Bigelowii
Cas tet,Cassiope tetragona
dicot,Dicotyledon
Dry int,Dryas integrifolia
Emp nig,Empetrum nigrum
Equ arv,Equisetum arvense
Eri vag,Eriophorum vaginatum
Fes sp.,Festuca species
frost boil,Soil Frost boil
graminoid,graminoid
grass,grass
Hie alp,Anthoxanthum monticola
Hie sp.,Anthoxanthum sp.
Lag gla,Lagotis glauca
Led pal,Ledum palustre
lichen,Mixed Lichens
litter,Mixed dead litter
Luz sp.,Luzula species
Min sp.,Minuartia species
moss,Mixed moss
Ped lap,Pedicularis lapponica
Ped sp.,Pedicularis species
Pet fri,Petasites frigidus
Pet sp.,Petasites species
Pol bis,Polygonum bistorta
Pol viv,Polygonum viviparum
Pyr sec,Pyrola secunda 
Pyr sp.,Pyrola species
Rub cha,Rubus chamaemorus
Sal arc,Salix arctica
Sal phl,Salix phlebophylla
Sal pul,Salix pulchra
Sal ret,Salix reticulata 
Sau ang,Saussurea angustifolia
Sax pun,Saxifraga punctata
St. D. Bet.,Standing Dead Betula nana
St. D. Led Pal,Standing dead Ledum palustre
St. D. Sal,Standing Dead Salix
St. D. Sal pul,Standing Dead Salix
Ste edw,Stellaria edwardsi
Ste lon,Stellaria longipes
Ste sp.,Stellaria species
Tof coc,Tofieldia coccinea
Tof sp.,Tofieldia species
Vac uli,Vaccinium uliginosum
Vac vit,Vaccinium vitis-idaea
