Date,HHMMSS,Snowlevel,Plot,Tleaf,Spp,PsCorrected,Conductancecorrected
6/23/2016,15:34:02,LOWSNOW,1,23.3,salix,4.323374341,0.042681396
6/23/2016,15:34:03,LOWSNOW,1,23.3,salix,4.323374341,0.042681396
6/23/2016,15:34:04,LOWSNOW,1,23.3,salix,4.278182275,0.043133317
6/23/2016,15:40:55,LOWSNOW,1,23.2,betula,5.862991154,0.102324625
6/23/2016,15:40:57,LOWSNOW,1,23.2,betula,5.59144209,0.102448056
6/23/2016,15:40:58,LOWSNOW,1,23.2,betula,5.184118494,0.10281835
6/23/2016,15:48:22,LOWSNOW,1,23.29,ledum,4.400194269,0.053618261
6/23/2016,15:48:22,LOWSNOW,1,23.29,ledum,4.400194269,0.053618261
6/23/2016,15:48:24,LOWSNOW,1,23.29,ledum,4.487615347,0.053618261
6/23/2016,15:58:45,LOWSNOW,1,23.81,eriophorum,7.129529608,0.093096337
6/23/2016,15:58:46,LOWSNOW,1,23.81,eriophorum,7.18845134,0.09250712
6/23/2016,15:58:48,LOWSNOW,1,23.81,eriophorum,7.247373073,0.093096337
6/23/2016,16:02:47,LOWSNOW,2,23.71,salix,5.436999843,0.064255453
6/23/2016,16:02:47,LOWSNOW,2,23.71,salix,5.436999843,0.064255453
6/23/2016,16:02:49,LOWSNOW,2,23.72,salix,5.413463047,0.064255453
6/23/2016,16:05:49,LOWSNOW,2,23.53,betula,3.073524336,0.031273731
6/23/2016,16:05:50,LOWSNOW,2,23.53,betula,3.085950984,0.031232309
6/23/2016,16:05:51,LOWSNOW,2,23.53,betula,3.11080428,0.031232309
6/23/2016,16:08:18,LOWSNOW,2,22.73,ledum,4.091559371,0.052646638
6/23/2016,16:08:20,LOWSNOW,2,22.72,ledum,3.948497854,0.052646638
6/23/2016,16:08:21,LOWSNOW,2,22.71,ledum,3.719599428,0.052646638
6/23/2016,16:11:12,LOWSNOW,2,22.77,eriophorum,3.989033585,0.048937629
6/23/2016,16:11:13,LOWSNOW,2,22.78,eriophorum,3.96435915,0.048937629
6/23/2016,16:11:15,LOWSNOW,2,22.77,eriophorum,3.956134339,0.049102125
6/23/2016,16:14:48,LOWSNOW,3,22.45,salix,3.951912009,0.042588566
6/23/2016,16:14:48,LOWSNOW,3,22.45,salix,3.951912009,0.042588566
6/23/2016,16:14:50,LOWSNOW,3,22.45,salix,3.951912009,0.042588566
6/23/2016,16:16:53,LOWSNOW,3,21.67,betula,3.726485518,0.045058226
6/23/2016,16:16:54,LOWSNOW,3,21.67,betula,3.726485518,0.045058226
6/23/2016,16:16:55,LOWSNOW,3,21.66,betula,3.636906539,0.045326963
6/23/2016,16:26:52,LOWSNOW,3,22.28,ledum,10.81283422,0.04459893
6/23/2016,16:26:53,LOWSNOW,3,22.28,ledum,10.62032086,0.045240642
6/23/2016,16:26:54,LOWSNOW,3,22.28,ledum,10.62032086,0.045882353
6/23/2016,16:30:50,LOWSNOW,3,21.95,eriophorum,7.297799814,0.056430121
6/23/2016,16:30:51,LOWSNOW,3,21.95,eriophorum,7.288503254,0.056430121
6/23/2016,16:30:52,LOWSNOW,3,21.95,eriophorum,7.223427332,0.05624419
6/23/2016,11:25:01,LOWSNOW,4,19.05,salix,8.88725129,0.109653648
6/23/2016,11:25:03,LOWSNOW,4,19.05,salix,8.93146647,0.1100958
6/23/2016,11:25:04,LOWSNOW,4,19.04,salix,8.975681651,0.109653648
6/23/2016,11:28:34,LOWSNOW,4,18.93,betula,6.755934267,0.091905052
6/23/2016,11:28:35,LOWSNOW,4,18.94,betula,6.816798539,0.091905052
6/23/2016,11:28:36,LOWSNOW,4,18.93,betula,6.877662812,0.091905052
6/23/2016,11:33:32,LOWSNOW,4,19.37,ledum,1.894080997,0.081993769
6/23/2016,11:33:40,LOWSNOW,4,19.41,ledum,2.130841121,0.073021807
6/23/2016,11:33:41,LOWSNOW,4,19.41,ledum,2.143302181,0.073271028
6/23/2016,11:39:30,LOWSNOW,4,19.73,eriophorum,2.012225343,0.075830167
6/23/2016,11:39:31,LOWSNOW,4,19.73,eriophorum,2.012225343,0.075830167
6/23/2016,11:39:32,LOWSNOW,4,19.72,eriophorum,2.032050223,0.075929291
6/23/2016,11:47:12,LOWSNOW,5,18.94,salix,5.205283827,0.062263477
6/23/2016,11:47:13,LOWSNOW,5,18.94,salix,5.205283827,0.062263477
6/23/2016,11:47:14,LOWSNOW,5,18.94,salix,5.141021064,0.062049268
6/23/2016,11:49:44,LOWSNOW,5,18.98,betula,8.721553676,0.150125104
6/23/2016,11:49:45,LOWSNOW,5,18.99,betula,8.721553676,0.150125104
6/23/2016,11:49:47,LOWSNOW,5,19,betula,8.793041821,0.150125104
6/23/2016,11:54:01,LOWSNOW,5,19.42,ledum,19.72288581,0.567606307
6/23/2016,11:54:03,LOWSNOW,5,19.42,ledum,19.52221691,0.567606307
6/23/2016,11:54:04,LOWSNOW,5,19.42,ledum,19.57955088,0.564739608
6/23/2016,12:01:05,LOWSNOW,5,19.98,eriophorum,7.138437742,0.09358082
6/23/2016,12:01:05,LOWSNOW,5,19.98,eriophorum,7.138437742,0.09358082
6/23/2016,12:01:07,LOWSNOW,5,19.98,eriophorum,7.153905646,0.09358082
6/23/2016,12:08:24,AMBSNOW,1,19.74,salix,9.220146223,0.084890333
6/23/2016,12:08:25,AMBSNOW,1,19.74,salix,9.220146223,0.084890333
6/23/2016,12:08:26,AMBSNOW,1,19.74,salix,9.260763607,0.085702681
6/23/2016,12:11:38,AMBSNOW,1,19.86,betula,7.480519481,0.102233766
6/23/2016,12:11:39,AMBSNOW,1,19.86,betula,7.480519481,0.102857143
6/23/2016,12:11:41,AMBSNOW,1,19.86,betula,7.667532468,0.103480519
6/23/2016,12:17:40,AMBSNOW,1,18.87,ledum,3.358946213,0.197255763
6/23/2016,12:17:41,AMBSNOW,1,18.87,ledum,3.273326015,0.195279912
6/23/2016,12:17:42,AMBSNOW,1,18.87,ledum,3.013172338,0.19363337
6/23/2016,12:22:10,AMBSNOW,1,19.59,eriophorum,10.52631579,0.124245039
6/23/2016,12:22:12,AMBSNOW,1,19.59,eriophorum,10.52631579,0.124245039
6/23/2016,12:22:13,AMBSNOW,1,19.59,eriophorum,10.61259707,0.124245039
6/23/2016,12:26:39,AMBSNOW,2,19.49,salix,8.611819636,0.092862392
6/23/2016,12:26:40,AMBSNOW,2,19.49,salix,8.611819636,0.092862392
6/23/2016,12:26:41,AMBSNOW,2,19.49,salix,8.637758852,0.093121785
6/23/2016,12:28:20,AMBSNOW,2,19.69,betula,8.279618702,0.114389469
6/23/2016,12:28:21,AMBSNOW,2,19.69,betula,8.279618702,0.114389469
6/23/2016,12:28:23,AMBSNOW,2,19.67,betula,8.334089877,0.116023604
6/23/2016,12:30:43,AMBSNOW,2,19.84,ledum,19.66321244,0.27746114
6/23/2016,12:30:44,AMBSNOW,2,19.84,ledum,19.66321244,0.27746114
6/23/2016,12:30:45,AMBSNOW,2,19.85,ledum,19.74093264,0.28134715
6/23/2016,12:32:58,AMBSNOW,2,20.95,eriophorum,5.558604469,0.021481772
6/23/2016,12:32:59,AMBSNOW,2,20.95,eriophorum,5.542924343,0.021952176
6/23/2016,12:33:00,AMBSNOW,2,20.95,eriophorum,5.723245786,0.02250098
6/23/2016,12:37:22,AMBSNOW,3,20.56,salix,4.518072289,0.07170618
6/23/2016,12:37:23,AMBSNOW,3,20.56,salix,4.518072289,0.07170618
6/23/2016,12:37:24,AMBSNOW,3,20.56,salix,4.564710455,0.071123202
6/23/2016,12:40:49,AMBSNOW,3,20.74,betula,2.656800564,0.060183228
6/23/2016,12:40:50,AMBSNOW,3,20.74,betula,2.656800564,0.060183228
6/23/2016,12:40:51,AMBSNOW,3,20.75,betula,2.642706131,0.060042283
6/23/2016,12:47:20,AMBSNOW,3,21.81,ledum,6.571574121,-0.022710138
6/23/2016,12:47:21,AMBSNOW,3,21.81,ledum,6.388181355,-0.021518085
6/23/2016,12:47:22,AMBSNOW,3,21.73,ledum,6.143657667,-0.01892002
6/23/2016,12:50:49,AMBSNOW,3,22.36,eriophorum,6.962425008,0.086864541
6/23/2016,12:50:50,AMBSNOW,3,22.36,eriophorum,7.095042627,0.086959267
6/23/2016,12:50:52,AMBSNOW,3,22.37,eriophorum,7.01926113,0.086864541
6/23/2016,12:54:34,AMBSNOW,4,21.38,salix,3.423522159,0.060826084
6/23/2016,12:54:35,AMBSNOW,4,21.38,salix,3.423522159,0.060826084
6/23/2016,12:54:36,AMBSNOW,4,21.38,salix,3.435851771,0.060826084
6/23/2016,12:56:24,AMBSNOW,4,21.37,betula,6.694381118,0.067426579
6/23/2016,12:56:25,AMBSNOW,4,21.38,betula,6.630012069,0.06807027
6/23/2016,12:56:27,AMBSNOW,4,21.38,betula,6.670242725,0.068472576
6/23/2016,12:59:19,AMBSNOW,4,20.91,ledum,4.510903427,0.023800623
6/23/2016,12:59:20,AMBSNOW,4,20.91,ledum,4.685358255,0.023426791
6/23/2016,12:59:22,AMBSNOW,4,20.9,ledum,4.959501558,0.023426791
6/23/2016,13:02:16,AMBSNOW,4,20.86,eriophorum,11.81390486,0.139048615
6/23/2016,13:02:17,AMBSNOW,4,20.86,eriophorum,11.81390486,0.139048615
6/23/2016,13:02:18,AMBSNOW,4,20.86,eriophorum,11.70935703,0.139048615
6/23/2016,13:07:00,AMBSNOW,5,21.37,salix,2.758659218,0.065698324
6/23/2016,13:07:01,AMBSNOW,5,21.37,salix,2.758659218,0.065698324
6/23/2016,13:07:05,AMBSNOW,5,21.38,salix,2.859217877,0.065363128
6/23/2016,13:14:34,AMBSNOW,5,22.12,betula,3.520610239,0.047528238
6/23/2016,13:14:34,AMBSNOW,5,22.12,betula,3.520610239,0.047528238
6/23/2016,13:14:36,AMBSNOW,5,22.12,betula,3.467801086,0.047880299
6/23/2016,13:18:29,AMBSNOW,5,21.36,ledum,3.312642927,0.043711205
6/23/2016,13:18:29,AMBSNOW,5,21.36,ledum,3.312642927,0.043711205
6/23/2016,13:18:31,AMBSNOW,5,21.36,ledum,3.587063051,0.043711205
6/23/2016,13:22:21,AMBSNOW,5,22.35,eriophorum,8.663987946,0.08814666
6/23/2016,13:22:21,AMBSNOW,5,22.35,eriophorum,8.663987946,0.08814666
6/23/2016,13:22:23,AMBSNOW,5,22.34,eriophorum,8.663987946,0.08814666
6/23/2016,13:47:30,HIGHSNOW,1,23.55,salix,7.858546169,0.111703621
6/23/2016,13:47:31,HIGHSNOW,1,23.54,salix,7.970811114,0.112264945
6/23/2016,13:47:33,HIGHSNOW,1,23.54,salix,8.026943587,0.112264945
6/23/2016,13:53:32,HIGHSNOW,1,21.67,betula,4.382072662,0.08710542
6/23/2016,13:53:33,HIGHSNOW,1,21.67,betula,4.364204884,0.08710542
6/23/2016,13:53:34,HIGHSNOW,1,21.66,betula,4.315068493,0.086658725
6/23/2016,13:56:32,HIGHSNOW,1,21.41,ledum,12.61526232,0.192448331
6/23/2016,13:56:33,HIGHSNOW,1,21.41,ledum,12.66295707,0.191255962
6/23/2016,13:56:34,HIGHSNOW,1,21.41,ledum,12.51987281,0.191732909
6/23/2016,13:59:25,HIGHSNOW,1,21.74,eriophorum,7.529357587,0.094635045
6/23/2016,13:59:26,HIGHSNOW,1,21.74,eriophorum,7.529357587,0.094635045
6/23/2016,13:59:27,HIGHSNOW,1,21.74,eriophorum,7.391204237,0.094635045
6/23/2016,14:03:40,HIGHSNOW,2,20.84,salix,10.5707756,0.152399688
6/23/2016,14:03:40,HIGHSNOW,2,20.84,salix,10.5707756,0.152399688
6/23/2016,14:03:42,HIGHSNOW,2,20.84,salix,10.553418,0.152399688
6/23/2016,14:12:03,HIGHSNOW,2,20.07,betula,4.135361689,0.023346787
6/23/2016,14:12:04,HIGHSNOW,2,20.03,betula,4.073269171,0.024091897
6/23/2016,14:12:06,HIGHSNOW,2,19.98,betula,4.085687675,0.024712822
6/23/2016,14:18:59,HIGHSNOW,2,20.81,ledum,5.657665505,-0.489982578
6/23/2016,14:18:59,HIGHSNOW,2,20.81,ledum,5.657665505,-0.489982578
6/23/2016,14:19:01,HIGHSNOW,2,20.81,ledum,5.866724739,-0.488675958
6/23/2016,14:25:24,HIGHSNOW,2,21.53,eriophorum,5.505726508,-0.250034497
6/23/2016,14:25:25,HIGHSNOW,2,21.54,eriophorum,5.613357251,-0.250034497
6/23/2016,14:25:26,HIGHSNOW,2,21.54,eriophorum,5.646474403,-0.250034497
6/23/2016,14:30:20,HIGHSNOW,3,21.49,salix,6.909492274,0.560706402
6/23/2016,14:30:22,HIGHSNOW,3,21.48,salix,6.865342163,0.560706402
6/23/2016,14:30:23,HIGHSNOW,3,21.48,salix,6.865342163,0.562913907
6/23/2016,14:32:57,HIGHSNOW,3,20.23,betula,2.615061001,0.100462768
6/23/2016,14:32:57,HIGHSNOW,3,20.23,betula,2.615061001,0.100462768
6/23/2016,14:32:59,HIGHSNOW,3,20.23,betula,2.59991586,0.101472444
6/23/2016,14:36:37,HIGHSNOW,3,19.82,ledum,3.837953092,-0.012780384
6/23/2016,14:36:38,HIGHSNOW,3,19.82,ledum,3.837953092,-0.012780384
6/23/2016,14:36:39,HIGHSNOW,3,19.83,ledum,4.106609808,-0.012537313
6/23/2016,14:39:35,HIGHSNOW,3,20.52,eriophorum,5.155571635,0.012373372
6/23/2016,14:39:37,HIGHSNOW,3,20.47,eriophorum,5.264109986,0.012590449
6/23/2016,14:39:38,HIGHSNOW,3,20.45,eriophorum,5.23154848,0.013241679
6/23/2016,14:46:55,HIGHSNOW,4,21.3,salix,8.768115942,0.109782609
6/23/2016,14:46:57,HIGHSNOW,4,21.28,salix,8.804347826,0.110144928
6/23/2016,14:46:58,HIGHSNOW,4,21.28,salix,8.768115942,0.110144928
6/23/2016,14:49:45,HIGHSNOW,4,20.29,betula,11.91124951,0.16494745
6/23/2016,14:49:46,HIGHSNOW,4,20.29,betula,11.91124951,0.16494745
6/23/2016,14:49:47,HIGHSNOW,4,20.29,betula,11.85286104,0.165239393
6/23/2016,14:52:25,HIGHSNOW,4,20.8,ledum,3.780821918,0.081956947
6/23/2016,14:52:25,HIGHSNOW,4,20.8,ledum,3.780821918,0.081956947
6/23/2016,14:52:29,HIGHSNOW,4,20.8,ledum,6.598825832,0.081252446
6/23/2016,14:58:11,HIGHSNOW,4,21.77,eriophorum,6.683647478,0.136525726
6/23/2016,14:58:13,HIGHSNOW,4,21.77,eriophorum,6.520631686,0.136525726
6/23/2016,14:58:14,HIGHSNOW,4,21.77,eriophorum,6.704024452,0.137544575
6/23/2016,15:06:52,HIGHSNOW,5,21.84,salix,2.308170883,0.130029034
6/23/2016,15:06:53,HIGHSNOW,5,21.84,salix,2.270841974,0.129406885
6/23/2016,15:06:54,HIGHSNOW,5,21.84,salix,2.320613853,0.130029034
6/23/2016,15:12:54,HIGHSNOW,5,21.72,betula,8.68431347,0.152953449
6/23/2016,15:12:55,HIGHSNOW,5,21.72,betula,8.723431999,0.152953449
6/23/2016,15:12:57,HIGHSNOW,5,21.73,betula,8.801669057,0.152953449
6/23/2016,15:18:06,HIGHSNOW,5,20.92,ledum,2.069658406,0.055659745
6/23/2016,15:18:07,HIGHSNOW,5,20.92,ledum,2.069658406,0.055659745
6/23/2016,15:18:08,HIGHSNOW,5,20.92,ledum,1.943067649,0.056865372
6/23/2016,15:21:06,HIGHSNOW,5,21.38,eriophorum,6.47327249,0.098761408
6/23/2016,15:21:07,HIGHSNOW,5,21.38,eriophorum,6.512385919,0.099739244
6/23/2016,15:21:08,HIGHSNOW,5,21.38,eriophorum,6.434159061,0.098761408
6/24/2016,11:03:37,LOWSNOW,1,18.36,salix,9.262435678,0.112795883
6/24/2016,11:03:38,LOWSNOW,1,18.36,salix,9.303602058,0.112795883
6/24/2016,11:03:39,LOWSNOW,1,18.36,salix,9.344768439,0.112795883
6/24/2016,11:12:58,LOWSNOW,1,18.5,betula,1.79253112,0.037027537
6/24/2016,11:12:59,LOWSNOW,1,18.45,betula,1.79253112,0.037072803
6/24/2016,11:13:00,LOWSNOW,1,18.41,betula,1.783477933,0.037208601
6/24/2016,11:20:23,LOWSNOW,1,19.33,ledum,1.815631263,0.093386774
6/24/2016,11:20:23,LOWSNOW,1,19.33,ledum,1.815631263,0.093386774
6/24/2016,11:20:24,LOWSNOW,1,19.34,ledum,1.867735471,0.094188377
6/24/2016,11:39:03,LOWSNOW,1,21.61,eriophorum,3.306065751,0.023151721
6/24/2016,11:39:04,LOWSNOW,1,21.61,eriophorum,3.417194011,0.022688687
6/24/2016,11:39:05,LOWSNOW,1,21.62,eriophorum,3.695014663,0.023151721
6/24/2016,11:44:27,LOWSNOW,2,21.34,salix,3.648163962,0.073578138
6/24/2016,11:44:28,LOWSNOW,2,21.33,salix,3.607173356,0.073783091
6/24/2016,11:44:30,LOWSNOW,2,21.34,salix,3.586678053,0.073783091
6/24/2016,11:46:59,LOWSNOW,2,20.76,betula,7.515899017,0.135286182
