,DecimalDegrees,DecimalDegrees,m asl,,JulianDay,,,,,,,cm,,,mm,g,g,g/g,cm2,cm2/g,
SiteName,Latitude,Longitude,Altitude,Treatment,DOY_measured,Year_measured,SpeciesName,Taxon,Ind,Code,BFun,PlantHeight_Veg,WBI,NDVI,LeafThick,FreshMass,DryMass,LDMC,LeafArea,SLA,DataContributor
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,1,BETNAN1,DSHR,19.4,1.003718571,0.8300984079,0.23,0.0071,0.0036,0.5070422535,0.70989,197.1916667,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,2,BETNAN2,DSHR,23.2,1.005782321,0.8748451487,0.13,0.0083,0.0044,0.5301204819,0.84131,191.2068182,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,3,BETNAN3,DSHR,13.5,1.006886956,0.8278505807,0.21,0.0078,0.0036,0.4615384615,0.74006,205.5722222,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,4,BETNAN4,DSHR,16.6,1.000471864,0.855083704,0.23,0.007,0.0037,0.5285714286,0.60749,164.1864865,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,5,BETNAN5,DSHR,10.2,0.998924966,0.8342391499,0.31,0.0105,0.0049,0.4666666667,0.82506,168.3795918,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,6,BETNAN6,DSHR,21.2,0.9972689729,0.8509475914,0.22,0.0047,0.0027,0.5744680851,0.60612,224.4888889,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,7,BETNAN7,DSHR,10.7,0.9919050061,0.842774482,0.27,0.0056,0.0045,0.8035714286,0.64721,143.8244444,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,8,BETNAN8,DSHR,23.6,0.988483496,0.8290866049,0.18,0.006,0.0046,0.7666666667,0.66558,144.6913043,Katlyn Betway
Atqasuk,70.45,157.4,30,None,194,2018,Betula nana,BETNAN,9,BETNAN9,DSHR,13,0.9956877582,0.8481488604,0.22,0.0078,0.0036,0.4615384615,0.77666,215.7388889,Katlyn Betway
